iteration,hv
1,61.51851722915588
2,67.4089702944762
3,67.4089702944762
4,69.45574027706657
5,69.90684239735391
6,69.90684239735391
7,294.72147478102863
8,296.4715617223158
9,296.4715617223158
10,296.9891110293094
11,297.30515369050687
12,297.3058712324028
13,316.512002396047
14,317.29671310484855
15,317.29671310484855
16,317.29671310484855
17,317.29671310484855
18,317.29671310484855
19,319.64347006857804
20,319.64347006857804
21,319.64347006857804
22,796.2388387763624
23,825.0935275929605
24,827.510767708857
25,828.4678999751602
26,828.5790525857342
27,828.5847055585148
28,1695.2377049519614
29,1706.0270634852197
30,1706.0270634852197
31,1740.976822297483
32,1741.1695919707945
33,1742.0615328878825
34,1742.6017832425925
35,1742.6193708345747
36,1742.6193708345747
37,1805.9126027711516
38,1805.9126027711516
39,1809.2447958668138
40,1828.2659973000461
41,1828.2659973000461
42,1829.4128264885464
43,1860.2217739580922
44,1860.478965806803
45,1860.478965806803
